model,IFEval,BBH,MATH,GPQA,MUSR,MMLU_PRO
theprint/CleverBoi-Llama-3.1-8B-Instruct,0.16816269719898758,0.4559618469185147,0.049093656,0.30033557046979864,0.40143750000000006,0.30751329787234044
theprint/CleverBoi-Llama-3.1-8B-v2,0.19613957632415324,0.46678160110644784,0.052870090634441085,0.2860738255033557,0.37346875,0.31881648936170215
theprint/CleverBoi-Nemo-12B-v2,0.2045827293802666,0.5241085887165254,0.10347432024169184,0.313758389,0.4186770833333333,0.3228058510638298
theprint/Code-Llama-Bagel-8B,0.2529676813078188,0.46974200049001086,0.061178248,0.276006711,0.3679791666666667,0.28216422872340424
theprint/Conversely-Mistral-7B,0.2608113139802391,0.4672348146697077,0.027945619335347432,0.28523489932885904,0.4188958333333333,0.28257978723404253
theprint/Llama-3.2-3B-VanRossum,0.4782820693537591,0.42787418229776697,0.097432024,0.2676174496644295,0.3441666666666667,0.27701130319148937
theprint/ReWiz-7B,0.40479261692309737,0.4564215411912313,0.040785498,0.2751677852348993,0.46115625,0.2670378989361702
theprint/ReWiz-Llama-3.1-8B-v2,0.23790542427425895,0.46324275457450953,0.057401813,0.3028523489932886,0.381375,0.3310339095744681
theprint/ReWiz-Llama-3.2-3B,0.4648931501748693,0.4343257577815292,0.1095166163141994,0.2835570469798658,0.361375,0.28873005319148937
theprint/ReWiz-Nemo-12B-Instruct,0.10623811486854878,0.5092407647626753,0.1042296072507553,0.3238255033557047,0.4095625,0.33394281914893614
theprint/ReWiz-Qwen-2.5-14B,0.27854647889821227,0.6179492756426455,0.29229607250755285,0.3800335570469799,0.45389583333333333,0.5092253989361702
theprint/ReWiz-Worldbuilder-7B,0.25101951710350756,0.46361558385510165,0.037009063,0.26929530201342283,0.45725,0.297124335
theprint/RuDolph-Hermes-7B,0.3604292167005767,0.5052928613425586,0.051359517,0.31208053691275167,0.4226145833333333,0.30726396276595747
theprint/WorldBuilder-12B,0.13743755457741016,0.5010100641541125,0.044561934,0.29697986577181207,0.4066458333333334,0.31923204787234044
theprint/phi-3-mini-4k-python,0.24087753826513653,0.493759005,0.10498489425981873,0.2911073825503356,0.3921666666666666,0.35771276595744683
thinkcoder/llama3-8b-instruct-lora-8-sft,0.6480416406246536,0.4865011845587858,0.10196374622356495,0.26677852348993286,0.32345833333333335,0.34757313829787234
thirdeyeai/elevate360m,0.044488624,0.2962583602962783,0.015861027190332326,0.2407718120805369,0.34621875,0.1077127659574468
thomas-yanxin/XinYuan-Qwen2-1_5B,0.2985556102253133,0.3635491993150823,0.067220544,0.2701342281879195,0.36339583333333336,0.23570478723404256
thomas-yanxin/XinYuan-Qwen2-7B,0.44376033369238066,0.4936629157238895,0.14577039274924472,0.2911073825503356,0.40581249999999996,0.3924534574468085
thomas-yanxin/XinYuan-Qwen2-7B-0917,0.37191983935956596,0.5169215573786009,0.19788519637462235,0.30956375838926176,0.4401041666666667,0.4245345744680851
thomas-yanxin/XinYuan-Qwen2.5-7B-0917,0.35770644113175265,0.5184106116987492,0.1933534743202417,0.28104026845637586,0.3675520833333333,0.38821476063829785
tianyil1/MistralForCausalLM_Cal_DPO,0.5327619604870633,0.43814239617517153,0.028700906344410877,0.276006711,0.39765625,0.2763464095744681
tiiuae/Falcon3-10B-Base,0.3647754624396601,0.595004253,0.24924471299093656,0.34563758389261745,0.43979166666666664,0.4240359042553192
tiiuae/Falcon3-10B-Instruct,0.7816560060639104,0.6170469398052084,0.2764350453172205,0.3288590604026846,0.43232291666666667,0.44290226063829785
